STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150518,-9999,-9999,20,0,0,300,189,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150519,-9999,-9999,0,0,0,300,189,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150520,-9999,-9999,58,0,0,311,167,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150521,-9999,-9999,0,0,0,211,128,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150522,-9999,-9999,0,0,0,244,106,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150523,-9999,-9999,0,0,0,283,100,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150524,-9999,-9999,0,0,0,289,128,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150525,-9999,-9999,269,0,0,278,194,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150526,-9999,-9999,81,0,0,278,194,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150527,-9999,-9999,0,0,0,294,189,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150528,-9999,-9999,51,0,0,289,194,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150529,-9999,-9999,5,0,0,294,189,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150530,-9999,-9999,0,0,0,300,194,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150531,-9999,-9999,107,0,0,283,183,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150601,-9999,-9999,3,0,0,278,189,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150602,-9999,-9999,0,0,0,283,178,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150603,-9999,-9999,0,0,0,278,178,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150604,-9999,-9999,0,0,0,289,172,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150605,-9999,-9999,114,0,0,300,183,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150606,-9999,-9999,0,0,0,317,183,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150607,-9999,-9999,0,0,0,322,194,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150608,-9999,-9999,191,0,0,322,200,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150609,-9999,-9999,53,0,0,317,200,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150610,-9999,-9999,0,0,0,328,183,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150611,-9999,-9999,0,0,0,317,200,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150612,-9999,-9999,8,0,0,311,217,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150613,-9999,-9999,0,0,0,328,211,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150614,-9999,-9999,0,0,0,339,211,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150615,-9999,-9999,0,0,0,344,200,-9999
